지역,2015,2016,2017,2018,2019,2020,2021
강남구,581760,572140,561052,547453,550209,544055,537800
강동구,463321,448471,440359,431920,440390,463998,466472
강북구,334426,330704,328002,322915,317695,311569,302563
강서구,595691,602104,608255,603611,598273,585901,579768
관악구,529031,525607,520929,520040,517334,509803,499449
광진구,375180,372104,372298,371063,366972,360109,352627
구로구,454604,449600,441559,438486,439371,432488,421163
금천구,256167,254654,253491,254021,251820,247835,244891
노원구,578221,571212,558075,548160,537303,527032,514946
도봉구,353241,350272,346234,341649,335631,327361,319373
동대문구,373824,370312,366011,364338,363023,357014,352006
동작구,412774,413247,408493,409385,408912,401572,394364
마포구,398351,390887,385783,386359,385925,381858,378686
서대문구,323105,325871,325028,323080,323171,322952,315659
서초구,451258,451477,445401,438163,435107,429025,416167
성동구,305065,307161,312711,316463,308979,300505,292672
성북구,469560,461617,455407,447687,454744,447056,440142
송파구,667480,664946,671173,673507,682741,673926,663965
양천구,489010,481845,475018,468145,462285,457781,450487
영등포구,417811,406779,402024,403600,400986,407367,400908
용산구,247909,245102,244444,245090,245185,244645,237285
은평구,502578,495937,491202,487666,484546,484043,477173
종로구,163822,161922,164257,163026,161869,158996,153789
중구,134329,134409,134593,135633,136488,134635,131787
중랑구,418620,415677,412780,408147,402024,399562,391885